"Id","Weekly_Sales"
"1_1_2012-11-02",31579.9
"1_1_2012-11-09",801.07
"1_1_2012-11-16",6207.98
"1_1_2012-11-23",12682.1
"1_1_2012-11-30",21318.68
"1_1_2012-12-07",6866.34
"1_1_2012-12-14",8742.41
"1_1_2012-12-21",12744.28
"1_1_2012-12-28",36482.93
"1_1_2013-01-04",3180.12
"1_1_2013-01-11",932.24
"1_1_2013-01-18",114793.92
"1_1_2013-01-25",59511.97
"1_1_2013-02-01",23541.72
"1_1_2013-02-08",11197.3
"1_1_2013-02-15",77943.57
"1_1_2013-02-22",152401.64
"1_1_2013-03-01",62223.17
"1_1_2013-03-08",1260
"1_1_2013-03-15",91762.29
"1_1_2013-03-22",2157.44
"1_1_2013-03-29",3045.94
"1_1_2013-04-05",13634.48
"1_1_2013-04-12",2751.27
"1_1_2013-04-19",19452.05
"1_1_2013-04-26",28384.78
"1_1_2013-05-03",44936.47
"1_1_2013-05-10",1110
"1_1_2013-05-17",10461.93
"1_1_2013-05-24",6252.82
"1_1_2013-05-31",7124.84
"1_1_2013-06-07",1675.41
"1_1_2013-06-14",9592.35
"1_1_2013-06-21",25942.35
"1_1_2013-06-28",6223.03
"1_1_2013-07-05",31002.65
"1_1_2013-07-12",5780.29
"1_1_2013-07-19",788.61
"1_1_2013-07-26",9421.2
"1_2_2012-11-02",10216.64
"1_2_2012-11-09",2576.34
"1_2_2012-11-16",9017.92
"1_2_2012-11-23",0
"1_2_2012-11-30",5859.12
"1_2_2012-12-07",7252.84
"1_2_2012-12-14",31898.63
"1_2_2012-12-21",32168.33
"1_2_2012-12-28",45489.31
"1_2_2013-01-04",6560.94
"1_2_2013-01-11",86946.05
"1_2_2013-01-18",1882.59
"1_2_2013-01-25",37255.89
"1_2_2013-02-01",1038.4
"1_2_2013-02-08",571.34
"1_2_2013-02-15",31588.66
"1_2_2013-02-22",14133.85
"1_2_2013-03-01",36826.52
"1_2_2013-03-08",17737.56
"1_2_2013-03-15",2310.34
"1_2_2013-03-22",4357.48
"1_2_2013-03-29",34429.75
"1_2_2013-04-05",47743.78
"1_2_2013-04-12",1485.91
"1_2_2013-04-19",1559
"1_2_2013-04-26",4530.75
"1_2_2013-05-03",17593.42
"1_2_2013-05-10",7407.41
"1_2_2013-05-17",58511.53
"1_2_2013-05-24",37670.13
"1_2_2013-05-31",2670.86
"1_2_2013-06-07",9810.97
"1_2_2013-06-14",6053.49
"1_2_2013-06-21",23541.72
"1_2_2013-06-28",8742.41
"1_2_2013-07-05",10417.72
"1_2_2013-07-12",21318.68
"1_2_2013-07-19",7693.46
"1_2_2013-07-26",59511.97
"1_3_2012-11-02",801.07
"1_3_2012-11-09",821.45
"1_3_2012-11-16",11197.3
"1_3_2012-11-23",29705.92
"1_3_2012-11-30",114793.92
"1_3_2012-12-07",2900
"1_3_2012-12-14",7989.25
"1_3_2012-12-21",9918.65
"1_3_2012-12-28",19050.66
"1_3_2013-01-04",13026.08
"1_3_2013-01-11",36482.93
"1_3_2013-01-18",9964.78
"1_3_2013-01-25",7206.64
"1_3_2013-02-01",3114.01
"1_3_2013-02-08",788.61
"1_3_2013-02-15",2635.81
"1_3_2013-02-22",32427.3
"1_3_2013-03-01",19776.44
"1_3_2013-03-08",785.41
"1_3_2013-03-15",5626.16
"1_3_2013-03-22",1882.59
"1_3_2013-03-29",1005
"1_3_2013-04-05",0
"1_3_2013-04-12",34003.52
"1_3_2013-04-19",16338.81
"1_3_2013-04-26",2573.12
"1_3_2013-05-03",2751.27
"1_3_2013-05-10",14903.78
"1_3_2013-05-17",1485.91
"1_3_2013-05-24",1188
"1_3_2013-05-31",44936.47
"1_3_2013-06-07",1038.4
"1_3_2013-06-14",14133.85
"1_3_2013-06-21",165723.32
"1_3_2013-06-28",31898.63
"1_3_2013-07-05",1675.41
"1_3_2013-07-12",31002.65
"1_3_2013-07-19",66433.08
"1_3_2013-07-26",2157.44
"1_4_2012-11-02",4530.75
"1_4_2012-11-09",7124.84
"1_4_2012-11-16",5780.29
"1_4_2012-11-23",37656.58
"1_4_2012-11-30",4357.48
"1_4_2012-12-07",86946.05
"1_4_2012-12-14",37670.13
"1_4_2012-12-21",84183.85
"1_4_2012-12-28",18932.74
"1_4_2013-01-04",9959.64
"1_4_2013-01-11",5913.03
"1_4_2013-01-18",10003.1
"1_4_2013-01-25",24182.96
"1_4_2013-02-01",45489.31
"1_4_2013-02-08",5622.58
"1_4_2013-02-15",31588.66
"1_4_2013-02-22",17753.95
"1_4_2013-03-01",58511.53
"1_4_2013-03-08",3527.62
"1_4_2013-03-15",43050.78
"1_4_2013-03-22",2310.34
"1_4_2013-03-29",37255.89
"1_4_2013-04-05",7760.73
"1_4_2013-04-12",92964.97
"1_4_2013-04-19",3099.16
"1_4_2013-04-26",1241.47
"1_4_2013-05-03",19050.66
"1_4_2013-05-10",6053.49
"1_4_2013-05-17",10017.61
"1_4_2013-05-24",5859.12
"1_4_2013-05-31",10417.72
"1_4_2013-06-07",13327.82
"1_4_2013-06-14",7693.46
"1_4_2013-06-21",35561.29
"1_4_2013-06-28",11197.3
"1_4_2013-07-05",23541.72
"1_4_2013-07-12",7206.64
"1_4_2013-07-19",30031.81
"1_4_2013-07-26",2443
"1_5_2012-11-02",2635.81
"1_5_2012-11-09",59519.38
"1_5_2012-11-16",43
"1_5_2012-11-23",8742.41
"1_5_2012-11-30",23728.53
"1_5_2012-12-07",1485.91
"1_5_2012-12-14",9872.05
"1_5_2012-12-21",2900
"1_5_2012-12-28",44259.59
"1_5_2013-01-04",7324.21
